Timestamp,Rate
1702252800000,0.1
1702166400000,0.05
1702080000000,0.1
1701993600000,0.1
1701907200000,0.05
1701820800000,0.31
1701734400000,0.22
1701648000000,0.28
1701561600000,0.28
1701475200000,0.04
1701388800000,0.04
1701302400000,0.04
1701216000000,0.14
1701129600000,0.05
1701043200000,0.04
1700956800000,0.04
1700870400000,0.04
1700784000000,0.04
1700697600000,0.05
1700611200000,0.02
1700524800000,0.05
1700438400000,0.3
1700352000000,0.05
1700265600000,0.08
1700179200000,0.05
1700092800000,0.16
1700006400000,0.03
1699920000000,0.05
1699833600000,0.23
1699747200000,0.08
1699660800000,0.1
1699574400000,0.28
1699488000000,0.1
1699401600000,0.1
1699315200000,0.056
1699228800000,0.23
1699142400000,0.16
1699056000000,0.05
1698969600000,0.04
1698883200000,0.25
1698796800000,0.06
1698710400000,0.18
1698624000000,0.15
1698537600000,0.06
1698451200000,0.04
1698364800000,0.1
1698278400000,0.06
1698192000000,0.15
1698105600000,0.16
1698019200000,0.03
1697932800000,0.03
1697846400000,0.02
1697760000000,0.02
1697673600000,0.015
1697587200000,0.02
1697500800000,0.02
1697414400000,0.015
1697328000000,0.015
1697241600000,0.015
1697155200000,0.015
1697068800000,0.025
1696982400000,0.03
1696896000000,0.02
1696809600000,0.02
1696723200000,0.015
1696636800000,0.015
1696550400000,0.015
1696464000000,0.02
1696377600000,0.03
1696291200000,0.03
1696204800000,0.02
1696118400000,0.015
1696032000000,0.015
1695945600000,0.015
1695859200000,0.015
1695772800000,0.015
1695686400000,0.015
1695600000000,0.015
1695513600000,0.015
1695427200000,0.015
1695340800000,0.015
1695254400000,0.03
1695168000000,0.015
1695081600000,0.015
1694995200000,0.015
1694908800000,0.015
1694822400000,0.015
1694736000000,0.025
1694649600000,0.02
1694563200000,0.015
1694476800000,0.015
1694390400000,0.015
1694304000000,0.015
1694217600000,0.015
1694131200000,0.015
1694044800000,0.015
1693958400000,0.015
1693872000000,0.015
1693785600000,0.015
1693699200000,0.015
1693612800000,0.015
1693526400000,0.015
1693440000000,0.015
1693353600000,0.015
1693267200000,0.01
1693180800000,0.01
1693094400000,0.01
1693008000000,0.01
1692921600000,0.01
1692835200000,0.01
1692748800000,0.01
1692662400000,0.01
1692576000000,0.01
1692489600000,0.01
1692403200000,0.01
1692316800000,0.01
1692230400000,0.04
1692144000000,0.04
1692057600000,0.1
1691971200000,0.042
1691884800000,0.03
1691798400000,0.025
1691712000000,0.05
1691625600000,0.06
1691539200000,0.04
1691452800000,0.06
1691366400000,0.04
1691280000000,0.03
1691193600000,0.015
1691107200000,0.04
1691020800000,0.03
1690934400000,0.22
1690848000000,0.04
1690761600000,0.01
1690675200000,0.01
1690588800000,0.01
1690502400000,0.02
1690416000000,0.01
1690329600000,0.02
1690243200000,0.02
1690156800000,0.01
1690070400000,0.01
1689984000000,0.01
1689897600000,0.01
1689811200000,0.01
1689724800000,0.01
1689638400000,0.01
1689552000000,0.01
1689465600000,0.01
1689379200000,0.01
1689292800000,0.27
1689206400000,0.05
1689120000000,0.03
1689033600000,0.05
1688947200000,0.02
1688860800000,0.01
1688774400000,0.01
1688688000000,0.0295
1688601600000,0.03
1688515200000,0.03
1688428800000,0.05
1688342400000,0.04
1688256000000,0.025
1688169600000,0.02
1688083200000,0.02
1687996800000,0.01
1687910400000,0.01
1687824000000,0.01
1687737600000,0.02
1687651200000,0.01
1687564800000,0.01
1687478400000,0.02
1687392000000,0.01
1687305600000,0.01
1687219200000,0.01
1687132800000,0.01
1687046400000,0.01
1686960000000,0.01
1686873600000,0.01
1686787200000,0.01
1686700800000,0.01
1686614400000,0.01
1686528000000,0.01
1686441600000,0.01
1686355200000,0.01
1686268800000,0.01
1686182400000,0.01
1686096000000,0.01
1686009600000,0.01
1685923200000,0.015
1685836800000,0.015
1685750400000,0.02
1685664000000,0.02
1685577600000,0.03
1685491200000,0.1
1685404800000,0.08
1685318400000,0.025
1685232000000,0.01
1685145600000,0.01
1685059200000,0.025
1684972800000,0.02
1684886400000,0.03
1684800000000,0.01
1684713600000,0.01
1684627200000,0.01
1684540800000,0.01
1684454400000,0.01
1684368000000,0.01
1684281600000,0.01
1684195200000,0.01
1684108800000,0.01
1684022400000,0.01
1683936000000,0.01
1683849600000,0.01
1683763200000,0.01
1683676800000,0.01
1683590400000,0.01
1683504000000,0.01
1683417600000,0.01
1683331200000,0.04
1683244800000,0.03
1683158400000,0.04
1683072000000,0.02
1682985600000,0.03
1682899200000,0.0199
1682812800000,0.01
1682726400000,0.01
1682640000000,0.02
1682553600000,0.01
1682467200000,0.03
1682380800000,0.01
1682294400000,0.01
1682208000000,0.01
1682121600000,0.01
1682035200000,0.02
1681948800000,0.01
1681862400000,0.03
1681776000000,0.03
1681689600000,0.1
1681603200000,0.1
1681516800000,0.04
1681430400000,0.03
1681344000000,0.015
1681257600000,0.03
1681171200000,0.21
1681084800000,0.01
1680998400000,0.01
1680912000000,0.019
1680825600000,0.03
1680739200000,0.01
1680652800000,0.01
1680566400000,0.01
1680480000000,0.01
1680393600000,0.01
1680307200000,0.01
1680220800000,0.01
1680134400000,0.01
1680048000000,0.01
1679961600000,0.01
1679875200000,0.01
1679788800000,0.01
1679702400000,0.01
1679616000000,0.03
1679529600000,0.03
1679443200000,0.03
1679356800000,0.03
1679270400000,0.04
1679184000000,0.03
1679097600000,0.03
1679011200000,0.01
1678924800000,0.03
1678838400000,0.08
1678752000000,0.08
1678665600000,0.22
1678579200000,0.04
1678492800000,0.01
1678406400000,0.01
1678320000000,0.01
1678233600000,0.01
1678147200000,0.01
1678060800000,0.011
1677974400000,0.01
1677888000000,0.01
1677801600000,0.1
1677715200000,0.04
1677628800000,0.03
1677542400000,0.02
1677456000000,0.027
1677369600000,0.015
1677283200000,0.02
1677196800000,0.1
1677110400000,0.04
1677024000000,0.04
1676937600000,0.07
1676851200000,0.09
1676764800000,0.05
1676678400000,0.09
1676592000000,0.09
1676505600000,0.21
1676419200000,0.03
1676332800000,0.03
1676246400000,0.01
1676160000000,0.01
1676073600000,0.01
1675987200000,0.02
1675900800000,0.05
1675814400000,0.1
1675728000000,0.02
1675641600000,0.025
1675555200000,0.03
1675468800000,0.03
1675382400000,0.04
1675296000000,0.22
1675209600000,0.03
1675123200000,0.02
1675036800000,0.05
1674950400000,0.02
1674864000000,0.03
1674777600000,0.03
1674691200000,0.03
1674604800000,0.019
1674518400000,0.03
1674432000000,0.05
1674345600000,0.03
1674259200000,0.22
1674172800000,0.02
1674086400000,0.01
1674000000000,0.019
1673913600000,0.0299
1673827200000,0.05
1673740800000,0.15
1673654400000,0.03
1673568000000,0.05
1673481600000,0.01
1673395200000,0.03
1673308800000,0.02
1673222400000,0.01
1673136000000,0.01
1673049600000,0.01
1672963200000,0.01
1672876800000,0.01
1672790400000,0.01
1672704000000,0.01
1672617600000,0.01
1672531200000,0.01
1672444800000,0.01
1672358400000,0.01
1672272000000,0.01
1672185600000,0.01
1672099200000,0.01
1672012800000,0.01
1671926400000,0.01
1671840000000,0.01
1671753600000,0.01
1671667200000,0.01
1671580800000,0.01
1671494400000,0.01
1671408000000,0.01
1671321600000,0.01
1671235200000,0.01
1671148800000,0.03
1671062400000,0.01
1670976000000,0.01
1670889600000,0.01
1670803200000,0.015
1670716800000,0.01
1670630400000,0.01
1670544000000,0.0188
1670457600000,0.01
1670371200000,0.02
1670284800000,0.02
1670198400000,0.02
1670112000000,0.02
1670025600000,0.02
1669939200000,0.02
1669852800000,0.025
1669766400000,0.02
1669680000000,0.02
1669593600000,0.01
1669507200000,0.01
1669420800000,0.01
1669334400000,0.01
1669248000000,0.02
1669161600000,0.0188
1669075200000,0.01
1668988800000,0.01
1668902400000,0.02
1668816000000,0.03
1668729600000,0.03
1668643200000,0.03
1668556800000,0.01
1668470400000,0.01
1668384000000,0.03
1668297600000,0.02
1668211200000,0.02
1668124800000,0.02
1668038400000,0.02
1667952000000,0.01
1667865600000,0.025
1667779200000,0.02
1667692800000,0.03
1667606400000,0.05
1667520000000,0.01
1667433600000,0.02
1667347200000,0.02
1667260800000,0.02
1667174400000,0.025
1667088000000,0.02
1667001600000,0.01
1666915200000,0.01
1666828800000,0.01
1666742400000,0.01
1666656000000,0.01
1666569600000,0.01
1666483200000,0.01
1666396800000,0.01
1666310400000,0.01
1666224000000,0.01
1666137600000,0.01
1666051200000,0.01
1665964800000,0.01
1665878400000,0.01
1665792000000,0.01
1665705600000,0.01
1665619200000,0.01
1665532800000,0.01
1665446400000,0.01
1665360000000,0.01
1665273600000,0.01
1665187200000,0.01
1665100800000,0.01
1665014400000,0.01
1664928000000,0.01
1664841600000,0.01
1664755200000,0.01
1664668800000,0.01
1664582400000,0.01
1664496000000,0.01
1664409600000,0.01
1664323200000,0.01
1664236800000,0.01
1664150400000,0.01
1664064000000,0.01
1663977600000,0.01
1663891200000,0.01
1663804800000,0.01
1663718400000,0.01
1663632000000,0.01
1663545600000,0.01
1663459200000,0.01
1663372800000,0.01
1663286400000,0.01
1663200000000,0.01
1663113600000,0.01
1663027200000,0.01
1662940800000,0.01
1662854400000,0.01
1662768000000,0.01
1662681600000,0.01
1662595200000,0.01
1662508800000,0.01
1662422400000,0.01
1662336000000,0.01
1662249600000,0.01
1662163200000,0.01
1662076800000,0.01
1661990400000,0.01
1661904000000,0.01
1661817600000,0.01
1661731200000,0.01
1661644800000,0.01
1661558400000,0.01
1661472000000,0.01
1661385600000,0.01
1661299200000,0.01
1661212800000,0.01
1661126400000,0.01
1661040000000,0.01
1660953600000,0.01
1660867200000,0.01
1660780800000,0.01
1660694400000,0.015
1660608000000,0.018
1660521600000,0.01
1660435200000,0.01
1660348800000,0.015
1660262400000,0.02
1660176000000,0.02
1660089600000,0.02
1660003200000,0.02
1659916800000,0.02
1659830400000,0.03
1659744000000,0.02
1659657600000,0.01
1659571200000,0.01
1659484800000,0.01
1659398400000,0.02
1659312000000,0.02
1659225600000,0.025
1659139200000,0.03
1659052800000,0.03
1658966400000,0.02
1658880000000,0.016
1658793600000,0.015
1658707200000,0.02
1658620800000,0.02
1658534400000,0.02
1658448000000,0.02
1658361600000,0.02
1658275200000,0.03
1658188800000,0.02
1658102400000,0.02
1658016000000,0.02
1657929600000,0.02
1657843200000,0.02
1657756800000,0.02
1657670400000,0.015
1657584000000,0.015
1657497600000,0.015
1657411200000,0.015
1657324800000,0.01
1657238400000,0.02
1657152000000,0.02
1657065600000,0.02
1656979200000,0.02
1656892800000,0.02
1656806400000,0.02
1656720000000,0.02
1656633600000,0.02
1656547200000,0.02
1656460800000,0.02
1656374400000,0.02
1656288000000,0.02
1656201600000,0.02
1656115200000,0.02
1656028800000,0.01
1655942400000,0.01
1655856000000,0.01
1655769600000,0.01
1655683200000,0.01
1655596800000,0.025
1655510400000,0.03
1655424000000,0.03
1655337600000,0.025
1655251200000,0.01
1655164800000,0.015
1655078400000,0.01
1654992000000,0.0105
1654905600000,0.025
1654819200000,0.01
1654732800000,0.01
1654646400000,0.01
1654560000000,0.01
1654473600000,0.01
1654387200000,0.01
1654300800000,0.01
1654214400000,0.01
1654128000000,0.01
1654041600000,0.01
1653955200000,0.01
1653868800000,0.01
1653782400000,0.01
1653696000000,0.01
1653609600000,0.01
1653523200000,0.01
1653436800000,0.01
1653350400000,0.01
1653264000000,0.01
1653177600000,0.01
1653091200000,0.01
1653004800000,0.01
1652918400000,0.01
1652832000000,0.01
1652745600000,0.01
1652659200000,0.01
1652572800000,0.01
1652486400000,0.01
1652400000000,0.01
1652313600000,0.01
1652227200000,0.01
1652140800000,0.01
1652054400000,0.02
1651968000000,0.0148
1651881600000,0.02
1651795200000,0.025
1651708800000,0.025
1651622400000,0.01
1651536000000,0.01
1651449600000,0.01
1651363200000,0.01
1651276800000,0.02
1651190400000,0.03
1651104000000,0.01
1651017600000,0.01
1650931200000,0.01
1650844800000,0.01
1650758400000,0.01
1650672000000,0.0199
1650585600000,0.02
1650499200000,0.01
1650412800000,0.01
1650326400000,0.01
1650240000000,0.0105
1650153600000,0.02
1650067200000,0.02
1649980800000,0.0105
1649894400000,0.01
1649808000000,0.0105
1649721600000,0.02
1649635200000,0.02
1649548800000,0.02
1649462400000,0.019
1649376000000,0.01
1649289600000,0.02
1649203200000,0.025
1649116800000,0.025
1649030400000,0.03
1648944000000,0.03
1648857600000,0.03
1648771200000,0.03
1648684800000,0.03
1648598400000,0.03
1648512000000,0.025
1648425600000,0.03
1648339200000,0.02
1648252800000,0.03
1648166400000,0.02
1648080000000,0.01
1647993600000,0.024
1647907200000,0.01
1647820800000,0.03
1647734400000,0.023
1647648000000,0.01
1647561600000,0.025
1647475200000,0.01
1647388800000,0.01
1647302400000,0.01
1647216000000,0.02
1647129600000,0.01
1647043200000,0.01
1646956800000,0.01
1646870400000,0.01
1646784000000,0.01
1646697600000,0.01
1646611200000,0.01
1646524800000,0.01
1646438400000,0.01
1646352000000,0.01
1646265600000,0.01
1646179200000,0.01
1646092800000,0.01
1646006400000,0.01
1645920000000,0.01
1645833600000,0.01
1645747200000,0.01
1645660800000,0.01
1645574400000,0.01
1645488000000,0.01
1645401600000,0.01
1645315200000,0.01
1645228800000,0.01
1645142400000,0.01
1645056000000,0.01
1644969600000,0.01
1644883200000,0.01
1644796800000,0.01
1644710400000,0.01
1644624000000,0.01
1644537600000,0.01
1644451200000,0.01
1644364800000,0.01
1644278400000,0.01
1644192000000,0.01
1644105600000,0.01
1644019200000,0.01
1643932800000,0.01
1643846400000,0.01
1643760000000,0.01
1643673600000,0.01
1643587200000,0.01
1643500800000,0.01
1643414400000,0.01
1643328000000,0.01
1643241600000,0.01
1643155200000,0.01
1643068800000,0.01
1642982400000,0.01
1642896000000,0.01
1642809600000,0.01
1642723200000,0.01
1642636800000,0.01
1642550400000,0.01
1642464000000,0.01
1642377600000,0.01
1642291200000,0.01
1642204800000,0.01
1642118400000,0.01
1642032000000,0.01
1641945600000,0.01
1641859200000,0.01
1641772800000,0.01
1641686400000,0.01
1641600000000,0.01
1641513600000,0.01
1641427200000,0.01
1641340800000,0.01
1641254400000,0.025
1641168000000,0.01
1641081600000,0.01
1640995200000,0.01
1640908800000,0.01
1640822400000,0.01
1640736000000,0.025
1640649600000,0.01
1640563200000,0.01
1640476800000,0.02
1640390400000,0.025
1640304000000,0.03
1640217600000,0.01
1640131200000,0.01
1640044800000,0.01
1639958400000,0.01
1639872000000,0.01
1639785600000,0.01
1639699200000,0.01
1639612800000,0.01
1639526400000,0.01
